rcid,country_code,date,pro_climate_vote,abstain_from_vote
2095,BH,1980-10-01,1,0
2095,QA,1980-10-01,1,0
2095,AE,1980-10-01,1,0
2095,OM,1980-10-01,0,1
2095,AF,1980-10-01,1,0
2095,MN,1980-10-01,1,0
2095,JP,1980-10-01,0,1
2095,IN,1980-10-01,1,0
2095,BT,1980-10-01,1,0
2095,PK,1980-10-01,0,1
2095,BD,1980-10-01,1,0
2095,MM,1980-10-01,0,1
2095,NP,1980-10-01,0,1
2095,TH,1980-10-01,1,0
2095,LA,1980-10-01,1,0
2095,VN,1980-10-01,1,0
2095,MY,1980-10-01,1,0
2095,SG,1980-10-01,1,0
2095,PH,1980-10-01,1,0
2095,ID,1980-10-01,1,0
2095,AU,1980-10-01,0,1
2095,PG,1980-10-01,1,0
2095,NZ,1980-10-01,0,1
2095,FJ,1980-10-01,1,0
2095,WS,1980-10-01,1,0
2335,CA,1982-10-03,1,0
2335,CU,1982-10-03,1,0
2335,DO,1982-10-03,0,1
2335,JM,1982-10-03,1,0
2335,TT,1982-10-03,0,1
2335,BB,1982-10-03,1,0
2335,MX,1982-10-03,1,0
2335,SV,1982-10-03,1,0
2335,NI,1982-10-03,1,0
2335,CR,1982-10-03,1,0
2335,CO,1982-10-03,0,1
2335,VE,1982-10-03,0,1
2335,GY,1982-10-03,0,1
2335,SR,1982-10-03,0,1
2335,EC,1982-10-03,0,1
2335,PE,1982-10-03,0,1
2335,BR,1982-10-03,0,1
2335,BO,1982-10-03,0,1
2335,PY,1982-10-03,0,1
2335,CL,1982-10-03,0,1
2335,AR,1982-10-03,0,1
2335,UY,1982-10-03,1,0
2335,GB,1982-10-03,1,0
2335,IE,1982-10-03,1,0
2335,NL,1982-10-03,1,0
2335,BE,1982-10-03,1,0
2335,LU,1982-10-03,1,0
2335,FR,1982-10-03,1,0
2335,ES,1982-10-03,1,0
2335,PT,1982-10-03,1,0
2335,NA,1982-10-03,1,0
2335,DD,1982-10-03,1,0
2335,PL,1982-10-03,1,0
2335,HU,1982-10-03,1,0
2335,CS,1982-10-03,1,0
2335,IT,1982-10-03,1,0
2335,MT,1982-10-03,1,0
2335,YU,1982-10-03,1,0
2335,GR,1982-10-03,1,0
2335,CY,1982-10-03,1,0
2335,BG,1982-10-03,1,0
2335,RO,1982-10-03,1,0
2335,RU,1982-10-03,1,0
2335,UA,1982-10-03,1,0
2335,BY,1982-10-03,1,0
2335,FI,1982-10-03,1,0
2335,SE,1982-10-03,1,0
2335,NO,1982-10-03,1,0
2335,DK,1982-10-03,1,0
2335,IS,1982-10-03,1,0
2335,CV,1982-10-03,1,0
2335,ST,1982-10-03,1,0
2335,GW,1982-10-03,1,0
2335,GQ,1982-10-03,1,0
2335,GM,1982-10-03,1,0
2335,ML,1982-10-03,1,0
2335,SN,1982-10-03,1,0
2335,BJ,1982-10-03,1,0
2335,MR,1982-10-03,1,0
2335,NE,1982-10-03,1,0
2335,CI,1982-10-03,1,0
2335,GN,1982-10-03,1,0
2335,BF,1982-10-03,1,0
2335,LR,1982-10-03,1,0
2335,GH,1982-10-03,0,1
2335,TG,1982-10-03,1,0
2335,CM,1982-10-03,1,0
2335,NG,1982-10-03,1,0
2335,GA,1982-10-03,1,0
2335,CF,1982-10-03,1,0
2335,TD,1982-10-03,1,0
2335,CG,1982-10-03,1,0
2335,CD,1982-10-03,1,0
2335,UG,1982-10-03,1,0
2335,KE,1982-10-03,1,0
2335,TZ,1982-10-03,1,0
2335,BI,1982-10-03,1,0
2335,RW,1982-10-03,1,0
2335,SO,1982-10-03,1,0
2335,DJ,1982-10-03,1,0
2335,ET,1982-10-03,1,0
2335,AO,1982-10-03,1,0
2335,MZ,1982-10-03,1,0
2335,MW,1982-10-03,1,0
2335,SZ,1982-10-03,1,0
2335,MG,1982-10-03,1,0
2335,KM,1982-10-03,1,0
2335,SC,1982-10-03,1,0
2335,MA,1982-10-03,1,0
2335,DZ,1982-10-03,0,1
2335,TN,1982-10-03,1,0
2335,LY,1982-10-03,1,0
2335,SD,1982-10-03,1,0
2335,IR,1982-10-03,1,0
2335,TR,1982-10-03,1,0
2335,IQ,1982-10-03,1,0
2335,EG,1982-10-03,1,0
2335,LB,1982-10-03,0,1
2335,SA,1982-10-03,1,0
2335,NA,1982-10-03,1,0
2335,KW,1982-10-03,1,0
2335,BH,1982-10-03,1,0
2335,QA,1982-10-03,1,0
2335,AE,1982-10-03,1,0
2335,OM,1982-10-03,1,0
2335,AF,1982-10-03,1,0
2335,CN,1982-10-03,1,0
2335,MN,1982-10-03,1,0
2335,JP,1982-10-03,1,0
2335,IN,1982-10-03,1,0
2335,PK,1982-10-03,1,0
2335,BD,1982-10-03,1,0
2335,LK,1982-10-03,1,0
2335,MV,1982-10-03,1,0
2335,NP,1982-10-03,1,0
2335,TH,1982-10-03,1,0
2335,KH,1982-10-03,1,0
2335,LA,1982-10-03,1,0
2335,VN,1982-10-03,1,0
2335,MY,1982-10-03,1,0
2335,SG,1982-10-03,1,0
2335,PH,1982-10-03,0,1
2335,ID,1982-10-03,1,0
2335,AU,1982-10-03,1,0
2335,PG,1982-10-03,1,0
2335,NZ,1982-10-03,1,0
2335,SB,1982-10-03,1,0
2335,WS,1982-10-03,1,0
2433,CA,1982-12-02,1,0
2433,BS,1982-12-02,1,0
2433,CU,1982-12-02,1,0
2433,DO,1982-12-02,1,0
2433,JM,1982-12-02,1,0
2433,TT,1982-12-02,1,0
2433,BB,1982-12-02,1,0
2433,DM,1982-12-02,1,0
2433,GD,1982-12-02,1,0
2433,MX,1982-12-02,1,0
2433,GT,1982-12-02,1,0
2433,HN,1982-12-02,1,0
2433,SV,1982-12-02,1,0
2433,NI,1982-12-02,1,0
2433,CR,1982-12-02,1,0
2433,PA,1982-12-02,1,0
2433,CO,1982-12-02,1,0
2433,VE,1982-12-02,1,0
2433,GY,1982-12-02,1,0
2433,SR,1982-12-02,1,0
2433,EC,1982-12-02,1,0
2433,PE,1982-12-02,1,0
2433,BR,1982-12-02,1,0
2433,BO,1982-12-02,1,0
2433,PY,1982-12-02,1,0
2433,CL,1982-12-02,1,0
2433,AR,1982-12-02,1,0
2433,UY,1982-12-02,1,0
2433,GB,1982-12-02,1,0
2433,IE,1982-12-02,1,0
2433,NL,1982-12-02,1,0
2433,BE,1982-12-02,1,0
2433,LU,1982-12-02,1,0
2433,FR,1982-12-02,1,0
2433,ES,1982-12-02,1,0
2433,PT,1982-12-02,1,0
2433,NA,1982-12-02,1,0
2433,DD,1982-12-02,1,0
2433,PL,1982-12-02,1,0
2433,HU,1982-12-02,1,0
2433,CS,1982-12-02,1,0
2433,IT,1982-12-02,1,0
2433,MT,1982-12-02,1,0
2433,AL,1982-12-02,1,0
2433,YU,1982-12-02,1,0
2433,GR,1982-12-02,1,0
2433,CY,1982-12-02,1,0
2433,BG,1982-12-02,1,0
2433,RO,1982-12-02,1,0
2433,RU,1982-12-02,1,0
2433,UA,1982-12-02,1,0
2433,BY,1982-12-02,1,0
2433,FI,1982-12-02,1,0
2433,SE,1982-12-02,1,0
2433,NO,1982-12-02,1,0
2433,DK,1982-12-02,1,0
2433,IS,1982-12-02,1,0
2433,CV,1982-12-02,1,0
2433,ST,1982-12-02,1,0
2433,GW,1982-12-02,1,0
2433,GM,1982-12-02,1,0
2433,ML,1982-12-02,1,0
2433,SN,1982-12-02,1,0
2433,BJ,1982-12-02,1,0
2433,MR,1982-12-02,1,0
2433,NE,1982-12-02,1,0
2433,CI,1982-12-02,1,0
2433,GN,1982-12-02,1,0
2433,BF,1982-12-02,1,0
2433,LR,1982-12-02,1,0
2433,SL,1982-12-02,1,0
2433,GH,1982-12-02,1,0
2433,TG,1982-12-02,1,0
2433,CM,1982-12-02,1,0
2433,NG,1982-12-02,1,0
2433,GA,1982-12-02,1,0
2433,CF,1982-12-02,1,0
2433,TD,1982-12-02,1,0
2433,CG,1982-12-02,1,0
2433,CD,1982-12-02,1,0
2433,UG,1982-12-02,1,0
2433,KE,1982-12-02,1,0
2433,TZ,1982-12-02,1,0
2433,BI,1982-12-02,1,0
2433,RW,1982-12-02,1,0
2433,SO,1982-12-02,1,0
2433,DJ,1982-12-02,1,0
2433,ET,1982-12-02,1,0
2433,AO,1982-12-02,1,0
2433,MZ,1982-12-02,1,0
2433,MW,1982-12-02,1,0
2433,LS,1982-12-02,1,0
2433,BW,1982-12-02,1,0
2433,SZ,1982-12-02,1,0
2433,MG,1982-12-02,1,0
2433,KM,1982-12-02,1,0
2433,MU,1982-12-02,1,0
2433,MA,1982-12-02,1,0
2433,DZ,1982-12-02,1,0
2433,TN,1982-12-02,1,0
2433,LY,1982-12-02,1,0
2433,SD,1982-12-02,1,0
2433,IR,1982-12-02,1,0
2433,TR,1982-12-02,1,0
2433,IQ,1982-12-02,1,0
2433,EG,1982-12-02,1,0
2433,SY,1982-12-02,1,0
2433,LB,1982-12-02,1,0
2433,JO,1982-12-02,1,0
2433,IL,1982-12-02,1,0
2433,SA,1982-12-02,1,0
2433,NA,1982-12-02,1,0
2433,YD,1982-12-02,1,0
2433,KW,1982-12-02,1,0
2433,BH,1982-12-02,1,0
2433,QA,1982-12-02,1,0
2433,AE,1982-12-02,1,0
2433,OM,1982-12-02,1,0
2433,AF,1982-12-02,1,0
2433,CN,1982-12-02,1,0
2433,MN,1982-12-02,1,0
2433,JP,1982-12-02,1,0
2433,IN,1982-12-02,1,0
2433,BT,1982-12-02,1,0
2433,PK,1982-12-02,1,0
2433,BD,1982-12-02,1,0
2433,MM,1982-12-02,1,0
2433,LK,1982-12-02,1,0
2433,MV,1982-12-02,1,0
2433,NP,1982-12-02,1,0
2433,TH,1982-12-02,1,0
2433,KH,1982-12-02,1,0
2433,LA,1982-12-02,1,0
2433,VN,1982-12-02,1,0
2433,MY,1982-12-02,1,0
2433,SG,1982-12-02,1,0
2433,PH,1982-12-02,1,0
2433,ID,1982-12-02,1,0
2433,AU,1982-12-02,1,0
2433,PG,1982-12-02,1,0
2433,NZ,1982-12-02,1,0
2433,VU,1982-12-02,1,0
2433,SB,1982-12-02,1,0
2433,FJ,1982-12-02,1,0
2433,WS,1982-12-02,1,0
2624,US,1983-12-07,1,0
2624,BS,1983-12-07,1,0
2624,CU,1983-12-07,1,0
2624,HT,1983-12-07,1,0
2624,JM,1983-12-07,1,0
2624,TT,1983-12-07,1,0
2624,BB,1983-12-07,1,0
2624,LC,1983-12-07,1,0
2624,VC,1983-12-07,1,0
2624,MX,1983-12-07,1,0
2624,BZ,1983-12-07,1,0
2624,GT,1983-12-07,1,0
2624,HN,1983-12-07,1,0
2624,SV,1983-12-07,1,0
2624,NI,1983-12-07,1,0
2624,CR,1983-12-07,1,0
2624,PA,1983-12-07,1,0
2624,VE,1983-12-07,1,0
2624,GY,1983-12-07,1,0
2624,SR,1983-12-07,1,0
2624,EC,1983-12-07,1,0
2624,BR,1983-12-07,1,0
2624,BO,1983-12-07,1,0
2624,PY,1983-12-07,1,0
2624,CL,1983-12-07,1,0
2624,AR,1983-12-07,1,0
2624,UY,1983-12-07,1,0
2624,GB,1983-12-07,1,0
2624,IE,1983-12-07,1,0
2624,NL,1983-12-07,1,0
2624,BE,1983-12-07,1,0
2624,FR,1983-12-07,1,0
2624,ES,1983-12-07,1,0
2624,PT,1983-12-07,1,0
2624,NA,1983-12-07,1,0
2624,DD,1983-12-07,0,0
2624,HU,1983-12-07,0,0
2624,CS,1983-12-07,0,0
2624,IT,1983-12-07,1,0
2624,MT,1983-12-07,1,0
2624,YU,1983-12-07,1,0
2624,GR,1983-12-07,1,0
2624,CY,1983-12-07,1,0
2624,RU,1983-12-07,0,0
2624,UA,1983-12-07,0,0
2624,BY,1983-12-07,0,0
2624,FI,1983-12-07,1,0
2624,SE,1983-12-07,1,0
2624,NO,1983-12-07,1,0
2624,DK,1983-12-07,1,0
2624,IS,1983-12-07,1,0
2624,ST,1983-12-07,1,0
2624,GW,1983-12-07,1,0
2624,GM,1983-12-07,1,0
2624,ML,1983-12-07,1,0
2624,SN,1983-12-07,1,0
2624,BJ,1983-12-07,1,0
2624,MR,1983-12-07,1,0
2624,NE,1983-12-07,1,0
2624,CI,1983-12-07,1,0
2624,GN,1983-12-07,1,0
2624,BF,1983-12-07,1,0
2624,SL,1983-12-07,1,0
2624,GH,1983-12-07,1,0
2624,CM,1983-12-07,1,0
2624,NG,1983-12-07,1,0
2624,GA,1983-12-07,1,0
2624,TD,1983-12-07,1,0
2624,UG,1983-12-07,1,0
2624,KE,1983-12-07,1,0
2624,TZ,1983-12-07,1,0
2624,BI,1983-12-07,1,0
2624,RW,1983-12-07,1,0
2624,DJ,1983-12-07,1,0
2624,ET,1983-12-07,1,0
2624,MZ,1983-12-07,1,0
2624,MW,1983-12-07,1,0
2624,LS,1983-12-07,1,0
2624,BW,1983-12-07,1,0
2624,SZ,1983-12-07,1,0
2624,MG,1983-12-07,1,0
2624,MU,1983-12-07,1,0
2624,DZ,1983-12-07,1,0
2624,TN,1983-12-07,1,0
2624,LY,1983-12-07,1,0
2624,SD,1983-12-07,1,0
2624,IR,1983-12-07,1,0
2624,TR,1983-12-07,1,0
2624,EG,1983-12-07,1,0
2624,SY,1983-12-07,1,0
2624,LB,1983-12-07,1,0
2624,JO,1983-12-07,1,0
2624,SA,1983-12-07,1,0
2624,NA,1983-12-07,1,0
2624,YD,1983-12-07,1,0
2624,KW,1983-12-07,1,0
2624,BH,1983-12-07,1,0
2624,QA,1983-12-07,1,0
2624,AE,1983-12-07,1,0
2624,OM,1983-12-07,1,0
2624,AF,1983-12-07,1,0
2624,CN,1983-12-07,1,0
2624,MN,1983-12-07,0,0
2624,JP,1983-12-07,1,0
2624,IN,1983-12-07,1,0
2624,BT,1983-12-07,1,0
2624,PK,1983-12-07,1,0
2624,BD,1983-12-07,1,0
2624,MM,1983-12-07,1,0
2624,LK,1983-12-07,1,0
2624,MV,1983-12-07,1,0
2624,NP,1983-12-07,1,0
2624,TH,1983-12-07,1,0
2624,KH,1983-12-07,1,0
2624,VN,1983-12-07,1,0
2624,MY,1983-12-07,1,0
2624,SG,1983-12-07,1,0
2624,PH,1983-12-07,1,0
2624,ID,1983-12-07,1,0
2624,AU,1983-12-07,1,0
2624,PG,1983-12-07,1,0
2624,NZ,1983-12-07,1,0
2624,VU,1983-12-07,1,0
2624,FJ,1983-12-07,1,0
2624,WS,1983-12-07,1,0
3661,CA,1991-12-06,1,0
3661,BS,1991-12-06,1,0
3661,CU,1991-12-06,1,0
3661,JM,1991-12-06,1,0
3661,TT,1991-12-06,1,0
3661,BB,1991-12-06,1,0
3661,LC,1991-12-06,1,0
3661,AG,1991-12-06,1,0
3661,MX,1991-12-06,1,0
3661,GT,1991-12-06,1,0
3661,HN,1991-12-06,1,0
3661,SV,1991-12-06,1,0
3661,CR,1991-12-06,1,0
3661,VE,1991-12-06,1,0
3661,GY,1991-12-06,1,0
3661,SR,1991-12-06,1,0
3661,EC,1991-12-06,1,0
3661,PE,1991-12-06,1,0
3661,BR,1991-12-06,1,0
3661,BO,1991-12-06,1,0
3661,AR,1991-12-06,1,0
3661,UY,1991-12-06,1,0
3661,GB,1991-12-06,1,0
3661,IE,1991-12-06,1,0
3661,NL,1991-12-06,1,0
3661,BE,1991-12-06,1,0
3661,LU,1991-12-06,1,0
3661,LI,1991-12-06,1,0
3661,PT,1991-12-06,1,0
3661,DE,1991-12-06,1,0
3661,PL,1991-12-06,1,0
3661,AT,1991-12-06,1,0
3661,HU,1991-12-06,1,0
3661,CS,1991-12-06,1,0
3661,IT,1991-12-06,1,0
3661,MT,1991-12-06,1,0
3661,AL,1991-12-06,1,0
3661,YU,1991-12-06,1,0
3661,GR,1991-12-06,1,0
3661,BG,1991-12-06,1,0
3661,RO,1991-12-06,1,0
3661,RU,1991-12-06,1,0
3661,EE,1991-12-06,1,0
3661,LV,1991-12-06,1,0
3661,LT,1991-12-06,1,0
3661,UA,1991-12-06,1,0
3661,BY,1991-12-06,1,0
3661,FI,1991-12-06,1,0
3661,SE,1991-12-06,1,0
3661,NO,1991-12-06,1,0
3661,DK,1991-12-06,1,0
3661,IS,1991-12-06,1,0
3661,CV,1991-12-06,1,0
3661,ST,1991-12-06,1,0
3661,GW,1991-12-06,1,0
3661,ML,1991-12-06,1,0
3661,SN,1991-12-06,1,0
3661,BJ,1991-12-06,1,0
3661,MR,1991-12-06,1,0
3661,NE,1991-12-06,1,0
3661,CI,1991-12-06,1,0
3661,GN,1991-12-06,1,0
3661,BF,1991-12-06,1,0
3661,LR,1991-12-06,1,0
3661,GH,1991-12-06,1,0
3661,TG,1991-12-06,1,0
3661,CM,1991-12-06,1,0
3661,NG,1991-12-06,1,0
3661,GA,1991-12-06,1,0
3661,CF,1991-12-06,1,0
3661,TD,1991-12-06,1,0
3661,CG,1991-12-06,1,0
3661,UG,1991-12-06,1,0
3661,KE,1991-12-06,1,0
3661,TZ,1991-12-06,1,0
3661,BI,1991-12-06,1,0
3661,SO,1991-12-06,1,0
3661,DJ,1991-12-06,1,0
3661,ET,1991-12-06,1,0
3661,AO,1991-12-06,1,0
3661,MZ,1991-12-06,1,0
3661,ZM,1991-12-06,1,0
3661,ZW,1991-12-06,1,0
3661,MW,1991-12-06,1,0
3661,"NA",1991-12-06,1,0
3661,LS,1991-12-06,1,0
3661,BW,1991-12-06,1,0
3661,SZ,1991-12-06,1,0
3661,MG,1991-12-06,1,0
3661,MA,1991-12-06,1,0
3661,DZ,1991-12-06,1,0
3661,TN,1991-12-06,1,0
3661,IR,1991-12-06,1,0
3661,TR,1991-12-06,1,0
3661,IQ,1991-12-06,0,1
3661,EG,1991-12-06,1,0
3661,SY,1991-12-06,1,0
3661,LB,1991-12-06,1,0
3661,JO,1991-12-06,1,0
3661,IL,1991-12-06,1,0
3661,SA,1991-12-06,1,0
3661,KW,1991-12-06,1,0
3661,BH,1991-12-06,1,0
3661,QA,1991-12-06,1,0
3661,AE,1991-12-06,1,0
3661,OM,1991-12-06,1,0
3661,CN,1991-12-06,1,0
3661,MN,1991-12-06,1,0
3661,KR,1991-12-06,1,0
3661,JP,1991-12-06,1,0
3661,IN,1991-12-06,1,0
3661,PK,1991-12-06,1,0
3661,BD,1991-12-06,1,0
3661,MM,1991-12-06,1,0
3661,LK,1991-12-06,1,0
3661,MV,1991-12-06,1,0
3661,NP,1991-12-06,1,0
3661,TH,1991-12-06,1,0
3661,LA,1991-12-06,1,0
3661,VN,1991-12-06,1,0
3661,MY,1991-12-06,1,0
3661,SG,1991-12-06,1,0
3661,BN,1991-12-06,1,0
3661,PH,1991-12-06,1,0
3661,ID,1991-12-06,1,0
3661,AU,1991-12-06,1,0
3661,NZ,1991-12-06,1,0
3661,SB,1991-12-06,1,0
3661,FJ,1991-12-06,1,0
3661,FM,1991-12-06,1,0
3661,WS,1991-12-06,1,0
3733,US,1992-12-06,1,0
3733,BS,1992-12-06,1,0
3733,CU,1992-12-06,1,0
3733,HT,1992-12-06,1,0
3733,DO,1992-12-06,1,0
3733,JM,1992-12-06,1,0
3733,TT,1992-12-06,1,0
3733,BB,1992-12-06,1,0
3733,DM,1992-12-06,1,0
3733,GD,1992-12-06,1,0
3733,LC,1992-12-06,1,0
3733,VC,1992-12-06,1,0
3733,AG,1992-12-06,1,0
3733,KN,1992-12-06,1,0
3733,MX,1992-12-06,1,0
3733,BZ,1992-12-06,1,0
3733,GT,1992-12-06,1,0
3733,HN,1992-12-06,1,0
3733,NI,1992-12-06,1,0
3733,CR,1992-12-06,1,0
3733,PA,1992-12-06,1,0
3733,CO,1992-12-06,1,0
3733,VE,1992-12-06,1,0
3733,GY,1992-12-06,1,0
3733,SR,1992-12-06,1,0
3733,EC,1992-12-06,1,0
3733,PE,1992-12-06,1,0
3733,BR,1992-12-06,1,0
3733,BO,1992-12-06,1,0
3733,PY,1992-12-06,1,0
3733,CL,1992-12-06,1,0
3733,AR,1992-12-06,1,0
3733,UY,1992-12-06,1,0
3733,GB,1992-12-06,1,0
3733,IE,1992-12-06,1,0
3733,BE,1992-12-06,1,0
3733,LU,1992-12-06,1,0
3733,FR,1992-12-06,1,0
3733,LI,1992-12-06,1,0
3733,ES,1992-12-06,1,0
3733,PT,1992-12-06,1,0
3733,PL,1992-12-06,1,0
3733,AT,1992-12-06,1,0
3733,CS,1992-12-06,1,0
3733,IT,1992-12-06,1,0
3733,MT,1992-12-06,1,0
3733,HR,1992-12-06,1,0
3733,SI,1992-12-06,1,0
3733,GR,1992-12-06,1,0
3733,CY,1992-12-06,1,0
3733,BG,1992-12-06,1,0
